class,h0, h1, h2, h3, h4, h5, h6, fl0, fl1, fl2, fl3, fl4, fl5, fl6, fle,  fa0, fa1, fa2, fa3, fa4, fa5, fa6, fae, c0, c1, c2, c3, c4, c5, c6, ce
1,0.565,0.595,0.744,0.833,0.804,0.565,0,0,0.124,0.367,0.551,0.615,0.471,0,1.03,0,-0.076,-0.0329,-0.0494,-0.185,0.0712,0,0.22,0,-0.19,-0.125,0,0.123,0.157,0,0.303
1,0.0674,0.382,0.562,0.539,0.404,0.225,0,0,0.326,0.517,0.506,0.382,0.213,0,0.906,0,-0.0742,-0.283,-0.0944,-0.018,0.0135,0,0.308,0,0.0387,0.065,0,-0.0698,-0.0737,0,0.127
1,0.386,0.556,0.604,0.556,0.459,0.314,0,0,0.233,0.346,0.362,0.33,0.25,0,0.691,0,-0.0332,-0.187,-0.438,-0.203,-0.0171,0,0.519,0,0.00816,-0.0106,-0.0377,-0.0267,0.0243,0,0.0538
1,0.153,0.24,0.305,0.283,0.24,0.131,0,0,0.113,0.203,0.207,0.189,0.105,0,0.379,0,-0.154,-0.33,-0.593,-0.345,-0.161,0,0.793,0,-0.113,-0.153,-0.193,-0.168,-0.12,0,0.341
1,0,0.281,0.398,0.492,0.585,0.492,0.281,0,0.234,0.304,0.351,0.398,0.258,0,0.704,0,0.0342,-0.0956,-0.249,-0.402,-0.142,0,0.504,0,0.00886,-0.0523,-0.0487,0.0414,0.0323,0,0.0891
1,0.129,0.388,0.491,0.543,0.465,0.284,0,0,0.28,0.405,0.478,0.422,0.263,0,0.847,0,0.0133,-0.129,-0.322,-0.111,-0.00396,0,0.364,0,0.00906,-0.0222,0,-0.00493,-0.00817,0,0.0258
1,0.383,0.587,0.74,0.816,0.689,0.383,0,0,0.268,0.485,0.625,0.561,0.319,0,1.06,0,0.00119,-0.0486,-0.175,0.0279,0.0522,0,0.191,0,-0.0912,-0.0754,0,0.00118,-0.0401,0,0.125
1,0.214,0.401,0.481,0.615,0.615,0.401,0,0,0.223,0.339,0.508,0.544,0.365,0,0.923,0,0.0228,-0.0613,-0.092,-0.256,-0.0346,0,0.282,0,-0.0658,-0.115,0,0.0896,0.0768,0,0.178
1,0,0.28,0.448,0.56,0.532,0.532,0.28,0,0.233,0.355,0.42,0.345,0.299,0,0.752,0,-0.0332,-0.179,-0.38,-0.188,0.0321,0,0.462,0,-0.0036,-0.0201,0,-0.0294,0.0618,0,0.0714
1,0.313,0.47,0.596,0.69,0.596,0.345,0,0,0.209,0.387,0.533,0.491,0.293,0,0.897,0,-0.0577,-0.147,-0.267,-0.0422,0.0259,0,0.314,0,-0.0944,-0.0899,0,0.0146,-0.0108,0,0.132
1,0,0.172,0.374,0.402,0.345,0.23,0,0,0.172,0.374,0.402,0.345,0.23,0,0.709,0,-0.0943,-0.16,-0.398,-0.189,-0.0368,0,0.479,0,-0.0542,0.0147,0,-0.014,0.00322,0,0.058
1,0.733,0.88,0.909,0.762,0.616,0.293,0,0,0.269,0.42,0.396,0.371,0.171,0,0.757,0,-0.131,-0.38,-0.204,-0.0285,-0.0289,0,0.452,0,0.0435,0.0636,-0.00411,0.0147,-0.0543,0,0.0954
1,0.58,0.785,0.956,1.13,1.02,0.648,0,0,0.301,0.569,0.836,0.83,0.552,0,1.45,0,0.0228,0.0114,0,0.273,0.273,0,0.387,0,-0.191,-0.185,0,0.0769,0.0593,0,0.283
1,0.421,0.702,0.787,0.815,0.646,0.253,0,0,0.351,0.506,0.604,0.506,0.183,0,1.02,0,0.0845,-0.0277,-0.196,-0.0277,-0.0841,0,0.233,0,0.00496,-0.0353,0,-0.0353,-0.164,0,0.171
1,0,0.561,0.693,0.792,0.693,0.561,0.396,0,0.495,0.561,0.594,0.429,0.231,0,1.07,0,0.228,0.0277,-0.206,-0.104,-0.0356,0,0.328,0,0.155,0.0291,0,-0.103,-0.109,0,0.218
1,0.791,1.11,1.07,1.07,0.83,0.435,0,0,0.448,0.54,0.672,0.567,0.303,0,1.16,0,0.181,0.00685,-0.128,0.0332,0.0364,0,0.227,0,0.06,-0.0626,0,-0.0363,-0.0849,0,0.127
1,0.311,0.506,0.623,0.7,0.506,0.272,0,0,0.246,0.415,0.545,0.402,0.22,0,0.86,0,-0.0202,-0.118,-0.255,-0.131,-0.0462,0,0.315,0,-0.064,-0.0722,0,-0.0852,-0.09,0,0.157
1,0.458,0.523,0.686,0.654,0.556,0.392,0,0,0.142,0.381,0.425,0.403,0.316,0,0.78,0,-0.125,-0.152,-0.375,-0.13,0.0492,0,0.446,0,-0.0981,0.00218,0,0.024,0.0762,0,0.127
1,0.252,0.377,0.472,0.472,0.377,0.314,0,0,0.168,0.304,0.346,0.293,0.273,0,0.633,0,-0.099,-0.229,-0.454,-0.24,0.00587,0,0.571,0,-0.0576,-0.0528,-0.0541,-0.0633,0.0472,0,0.124
1,0.254,0.508,0.571,0.635,0.603,0.317,0,0,0.296,0.402,0.508,0.519,0.275,0,0.923,0,0.0963,0.00211,-0.0921,-0.281,-0.125,0,0.336,0,0.00776,-0.0518,0,0.0646,-0.0134,0,0.0842
1,0.413,0.508,0.635,0.635,0.54,0.317,0,0,0.164,0.36,0.429,0.402,0.249,0,0.751,0,-0.103,-0.174,-0.371,-0.131,-0.018,0,0.443,0,-0.0779,-0.0227,0,0.0197,0.00676,0,0.0837
1,0.455,0.877,0.682,0.812,0.714,0.325,0,0,0.498,0.379,0.584,0.563,0.249,0,1.05,0,0.231,-0.155,-0.216,0.0294,-0.0177,0,0.354,0,0.164,-0.144,0,0.0396,-0.0854,0,0.238
1,0.142,0.355,0.355,0.496,0.461,0.106,0,0,0.236,0.26,0.426,0.414,0.0827,0,0.695,0,-0.0303,-0.273,-0.374,-0.12,-0.184,0,0.514,0,-0.00374,-0.12,0,0.034,-0.157,0,0.201
1,0.502,0.702,0.803,0.936,0.836,0.334,0,0,0.284,0.468,0.686,0.669,0.251,0,1.13,0,0.0176,-0.0651,-0.114,0.136,-0.0158,0,0.19,0,-0.112,-0.147,0,0.0536,-0.146,0,0.241
1,0.138,0.381,0.484,0.554,0.381,0.173,0,0,0.265,0.392,0.484,0.334,0.15,0,0.77,0,-0.00139,-0.141,-0.316,-0.199,-0.117,0,0.416,0,-0.00936,-0.0406,0,-0.0983,-0.125,0,0.164
1,0.134,0.535,0.769,0.803,0.669,0.301,0,0,0.424,0.68,0.736,0.624,0.279,0,1.28,0,0.157,0.147,-0.0642,0.091,0.012,0,0.242,0,-0.00428,0.0188,0,-0.0369,-0.149,0,0.155
1,0,0.192,0.319,0.447,0.415,0.224,0.0319,0,0.186,0.309,0.431,0.394,0.197,0,0.714,0,-0.0803,-0.224,-0.369,-0.139,-0.0696,0,0.466,0,-0.0571,-0.0761,0,0.00912,-0.0465,0,0.106
1,0,0.176,0.282,0.317,0.423,0.211,0,0,0.176,0.282,0.317,0.423,0.211,0,0.659,0,-0.0239,-0.118,-0.283,-0.377,-0.189,0,0.522,0,-0.0493,-0.0751,-0.0831,0.0658,-0.0141,0,0.14
1,0,0.457,0.518,0.915,0.915,0.854,0.762,0,0.33,0.264,0.534,0.407,0.218,0,0.823,0,0.0636,-0.269,-0.266,-0.127,-0.0482,0,0.407,0,0.0265,-0.213,0,-0.0706,-0.0853,0,0.241
1,0.208,0.417,0.536,0.565,0.536,0.298,0,0,0.243,0.397,0.461,0.466,0.263,0,0.846,0,0.0431,-0.00318,-0.139,-0.334,-0.137,0,0.389,0,-0.018,-0.0151,0,0.0544,0.00185,0,0.0592
1,0,0.24,0.411,0.685,0.788,0.822,0.651,0,0.131,0.194,0.36,0.354,0.28,0,0.623,0,-0.135,-0.339,-0.44,-0.179,0.013,0,0.6,0,-0.0941,-0.163,-0.0404,-0.0029,0.0543,0,0.2
1,1.12,1.24,1.3,1.18,0.906,0.393,0,0,0.307,0.554,0.619,0.534,0.206,0,1.05,0,0.0405,0.0205,-0.181,0.000401,-0.0602,0,0.196,0,-0.0484,-0.00102,0,-0.0212,-0.149,0,0.158
1,0,0.137,0.342,0.479,0.411,0.308,0.0342,0,0.131,0.331,0.462,0.388,0.28,0,0.755,0,-0.135,-0.202,-0.338,-0.145,0.013,0,0.441,0,-0.13,-0.0818,0,-0.0247,0.018,0,0.157
1,0.606,0.673,0.741,0.741,0.673,0.269,0,0,0.168,0.337,0.438,0.471,0.168,0,0.764,0,-0.0316,-0.0633,-0.162,-0.329,-0.232,0,0.439,0,-0.0789,-0.054,0,0.0807,-0.0789,0,0.148
1,0,0.129,0.257,0.45,0.418,0.322,0.0643,0,0.118,0.236,0.418,0.375,0.268,0,0.676,0,-0.149,-0.298,-0.382,-0.158,0.00128,0,0.531,0,-0.118,-0.137,0,0.00219,0.0322,0,0.184
1,0.891,0.99,1.06,0.99,0.924,0.429,0,0,0.248,0.462,0.545,0.627,0.281,0,1.02,0,0.0475,0.062,-0.0554,-0.173,-0.119,0,0.231,0,-0.0628,-0.025,0,0.14,-0.0298,0,0.158
1,0.299,0.465,0.631,0.698,0.598,0.365,0,0,0.216,0.432,0.548,0.498,0.316,0,0.939,0,-0.0507,-0.101,-0.252,-0.035,0.0489,0,0.283,0,-0.0966,-0.0584,0,0.008,0.0031,0,0.113
